loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0.8164110779762268,0.7305819988250732,0.1321532279253006,0.9590476155281067
0.22441360354423523,0.9302645325660706,0.08188170194625854,0.9721428751945496
0.1704747974872589,0.9461640119552612,0.06594862043857574,0.9780952334403992
0.13698667287826538,0.9581481218338013,0.057112421840429306,0.9809523820877075
0.12048696726560593,0.9627777934074402,0.047057706862688065,0.9845238327980042
0.10854988545179367,0.9671428799629211,0.04321489483118057,0.9866666793823242
0.09621655941009521,0.9697089791297913,0.03585932031273842,0.9895238280296326
0.08848355710506439,0.9727513194084167,0.03573867678642273,0.9907143115997314
0.08149738609790802,0.9735449552536011,0.031248444691300392,0.991428554058075
0.07814988493919373,0.9756613969802856,0.030088992789387703,0.991428554058075
0.074447862803936,0.9769576787948608,0.030129525810480118,0.9909523725509644
0.07165460288524628,0.9783333539962769,0.02843453735113144,0.991428554058075
0.06577902287244797,0.9795767068862915,0.02493187040090561,0.993571400642395
0.06542752683162689,0.9796561002731323,0.025026235729455948,0.9930952191352844
0.06554543972015381,0.9794179797172546,0.0255928635597229,0.9928571581840515
0.05806494504213333,0.9816666841506958,0.024049483239650726,0.9928571581840515
0.058515794575214386,0.9815343618392944,0.024287045001983643,0.9926190376281738
0.05627020448446274,0.9826455116271973,0.021192161366343498,0.994523823261261
0.05627208203077316,0.9823015928268433,0.0236037764698267,0.9930952191352844
0.05222037807106972,0.9836772680282593,0.02230357564985752,0.993571400642395
0.04833386465907097,0.9851852059364319,0.02337810769677162,0.9928571581840515
0.049600426107645035,0.9847090244293213,0.02274821512401104,0.9940476417541504
0.04536132887005806,0.9860317707061768,0.02284219115972519,0.9933333396911621
0.04386118799448013,0.9860317707061768,0.02129223756492138,0.993571400642395
0.04868797957897186,0.9848148226737976,0.02046540006995201,0.9933333396911621
0.04343108460307121,0.9862433671951294,0.022755376994609833,0.9942857027053833
0.04421786963939667,0.9865608215332031,0.019670654088258743,0.9942857027053833
0.041705649346113205,0.9868783354759216,0.02050679735839367,0.994523823261261
